code,company,sector,summary
A003690,코리안리,보험,"1963년 설립되어 1969년 한국거래소에 상장되었으며 보험회사가 인수한 계약의 일부를 다른 보험회사에 인수시키는 국내유일의 전업 재보험회사임 주요사업으로는 손해보험 재보험의 출수재 업무, 생명보험 재보험의 출수재 업무, 해외 보험 업무 등을 영위하고 있음 오랜 재보험 노하우를 바탕으로 국내 대형 위험 및 신위험에 대한 인수능력 제공, 해외 재보험 네트워크를 기반으로 한 국내시장 안정화, 신상품/신시장 개발 등의 기술력 확보 등 주요 재보험자로서의 역할 증대되고 있음 2015년 영국 로이즈마켓에 진출해 보험시장의 메카인 런던에 교두보를 확보했으며, 두바이지점 설치는 물론 브라질 1위 재보험사인 IRB브라질리와 업무협약도 체결"
A000640,동아쏘시오홀딩스,제약과생물공학,"동사는 1949년 설립되었으며 지배회사로 지주사, 제약, 물류, 포장용기, 기타 5개의 영업부문을 가지고 있음 바이오의약품 및 혁신신약 개발을 통한 성장동력 확보, 치료약 위주인 제약업 중심에서 의료서비스 분야 및 신사업군 추가 등 단계적인 사업 확장을 추진 자회사를 통해서 의약품원료와 완제의약품뿐만 아니라 포장, 물류사업까지 영위하고 있으며, 이외에도 생활용품, 건강식품, 의료기기, 바이오 등 광범위한 사업포트폴리오를 보유 의약외품으로 전환된 박카스는 뛰어난 현금 창출력을 보유하고 있는 장수브랜드로 고객충성도가 높으며, 박카스를 제외한 일반의약품부문은 바이엘 및 GSK의 제품도입 효과로 매출 증가가 이어지고 있음"
A003550,LG,자본재,"동사는 `독점규제 및 공정거래에 관한 법률`상 지주회사로서 2018년 6월 30일 기준 LG전자(주), (주)LG화학, (주)LG유플러스를 포함하여 총 11개의 국내 상장사를 보유 동사의 영업수익은 자회사 및 기타 투자회사로부터의 배당수익, LG브랜드의 권리를 소유하며 사용자로부터 수취하는 상표권 사용수익, 소유 건물의 임대를 통한 임대수익 등이 있음 자회사인 LG전자는 주력 사업인 TV에서 차별화된 시장 선도 제품을 지속적으로 기획ㆍ개발하여, 고화질 울트라HD TV의 보급형 모델을 출시하여 대중화를 리딩하고 있으며, 세계 최초 올레드TV 출시 및 판매 확대 중 자회사인 LG화학의 전지 사업부문은 자동차/ESS 전지 등을 주요 제품으로 하며, 소형전지는 스마트폰, 태블릿 PC 등 IT 기기의 Major 업체를 전략 고객으로 확보하고 있음"
A001680,대상,"식품,음료,담배","동사는 1956년 1월 31일에 조미료 및 식품첨가물 제조업 등을 영위할 목적으로 설립되었으며 식품사업부문, 소재사업부문 등을 주요사업으로 하고 있음 국내 대표적인 종합식품 브랜드인 `청정원`을 중심으로 `순창고추장`, `햇살담은 간장` 등 전통 장류부터 `미원`, `감치미` 등의 조미료류, 식초, 액젓 등의 농수산식품, 신선식품, 서구식품 등을 생산, 판매 중임 소재사업으로 첨단 발효기술을 바탕으로 한 핵산, 글루타민 등의 바이오 제품을 생산하고 있으며, 국내 최대의 전분당 규모를 바탕으로 제빵, 제과, 가공식품의 원료로 사용되는 전분 및 전분당 제품을 생산, 판매하고 있음 자회사 중 대상베스트코는 외식사업에 필요한 상품과 서비스를 적시에 제공하고, 식자재의 품질/위생/가격에 대한 신뢰를 바탕으로 외식사업의 성공을 위한 Total Solution을 제공하는 식자재유통전문기업임"
A001130,대한제분,"식품,음료,담배","동사는 1953년 11월 28일에 설립되어 제분업 및 소맥분 판매업 등을 주요사업으로 영위하고 있으며 대한사료(주) 등 10개의 계열회사를 보유하고 있음 주요 제품 영역으로 대표 브랜드인 `곰표` 밀가루와 튀김ㆍ부침가루 등의 프리믹스 제품, 국수, 파스타 등의 다양한 제품들로 소비자들의 기호에 맞는 최고의 품질들을 생산, 판매하고 있음 2017년 기준 제분시장 점유율 24.299%로 수한 설비와 운영시스템을 바탕으로 최상의 서비스를 제공하여 시장점유율에 있어 지속적 우위를 점하고 있음 연구개발조직으로 종합연구소를 두고 있으며 상표권인 `곰표`를 포함하여 총 76건(상표권 65건, 특허권 1건, 의장권10건)의 지적재산권을 보유하고 있음"
A000400,롯데손해보험,보험,"1946년 대한화재해상보험(주)로 설립된 손해보험사로, 2008년 롯데그룹에 편입된 후 사명을 롯데손해보험으로 변경하였음 주요 목적 사업으로는 보험업법 및 관계법령에 의한 보험업(보험영업, 영업지원, 언더라이팅, 손해사정 및 보험금지급업무, 자산운용 등)을 영위하고 있음 안정적 자본건전성의 기반을 구축하여 2018년 한국신용평가와 한국기업평가로부터 보험금지급능력평가 A+(안정적) 등급을 받았음 업계 최초로 단종보험 상품인 EW상품 런칭과 웨딩보험 출시로 시장의 입지를 구축해가고 있으며, 타채널 대비 저렴한 CM온라인 자동차 상품 출시와 동시에 한방맨 광고를 통한 브랜드 확립을 지속해 나가고 있음"
A007210,벽산,자본재,"동사는 건축자재의 제조 및 판매를 주 영업목적으로 하고 있으며 익산공장을 비롯한 6개 공장에서 다양한 종류의 단열재, 천장재, 외장재 등의 건축자재를 생산하고 있음 동사의 종속회사로 벽산페인트(주)는 환경친화형 기업을 표방하며 건축용, 공업용, 선박용, 중방식용, 피혁용 도료의 제조 및 판매를 주 영업목적으로 하고 있으며 (주)하츠는 가정용 레인지후드, 빌트인기기 등을 판매함 동사의 도료부문은 건축용, 공업용, 선박용, 중방식용, 피혁용 등 도료전반에 대한 기술력과 생산력을 갖춘 기업으로 전국 7개 거점 영업망 및 전문영업팀의 운영을 통하여 양질의 제품을 공급함 주방기기 및 환기부문에서 꾸준한 연구개발을 통해 다량의 기술을 보유하고 있으며 매년 다수의 제품 및 상품이 GOOD디자인 선정되어 디자인 개발을 인정받고 있음"
A004150,한솔홀딩스,소재,"1965년 설립되어, 2015년 1월 지류 사업부문을 분할하여 한솔제지(주)를 설립하고, 분할존속회사인 동사는 한솔홀딩스로 사명을 변경하여 자회사의 지분 소유를 통해 자회사의 사업을 지배하는 투자사업 등을 영위함 별도 사업을 영위하지 않는 순수지주회사로서 주요 수익은 한솔브랜드의 사용자로부터 수취하는 상표사용수익, 경영자문 제공을 통한 경영자문수익, 자회사 등으로부터 수취하는 배당금수익임 주요 종속회사가 영위하는 사업으로는 지류 도소매업 및 IT서비스 제공(한솔피엔에스), 관광단지업(한솔개발, 한솔더리저브), 플랜트 건설 및 엔지니어링(한솔이엠이, 한솔신텍) 등이 있음 2014년 8월 한솔제지를 인적 분할해 동사를 설립하고 2015년 6월 한솔로지스틱스를 인적 분할해 투자부문을 동사에 합병함"
A006220,제주은행,은행,"1969년 지역경제의 균형발전과 활성화를 도모하기 위해 설립되어 1972년 유가증권시장에 상장된 제주특별자치도 기반의 은행으로 신한금융그룹의 일원임 대출 업무 외에 카드업무, 환업무, 방카슈랑스, 수익증권 판매, 유가증권 운용, 신탁 업무 등 광범위한 금융 업무를 주요사업으로 영위하고 있음 지역내 유기적으로 연결된 지점망을 바탕으로 한 특화된 지역밀착경영, 거래기업에 대한 장기적인 관계금융의 제공, 지역사회로 이익의 일정부문을 환원하고 봉사하는 사회공헌 활동 등 은행으로서의 이미지를 제고해 나가는 중 지역내 높은 브랜드 인지도와 고객충성도를 바탕으로 한 고객메인화, 그리고 조밀한 점포망을 바탕으로 한 지역고객의 이용편리성이 큰 강점임"
A002790,아모레G,내구소비재와의류,"1959년 3월 6일에 설립되어 2006년 6월 1일에 인적분할을 통해 주요사업인 화장품, 생활용품, 식품등의 제조 및 판매와 관련된 사업을 (주)아모레퍼시픽으로 이전하였고 지주사업을 영위하고 있음 국내 자회사는 현재 아모레퍼시픽, 이니스프리, 에뛰드, 아모스프로페셔널, 에스쁘아, 에스트라, 퍼시픽글라스, 퍼시픽패키지, 농업회사법인, 오설록농장, 코스비전으로 총 10개사임 화장품사업에서는 럭셔리 브랜드의 성공적인 신제품 출시와 차별화된 고객 서비스를 기반으로 백화점 채널에서 경쟁사 대비 안정적인 성과를 보이며 채널 점유율을 지속적으로 확대하고 있음 헤어케어 대표 브랜드인 미장센과 려는 시장리더십을 강화하였고, 바디 카테고리에서 ‘일리윤’은 리브랜딩을 통하여 저자극, 고보습 중심의 브랜드로 재탄생 시킴"
A002270,롯데푸드,"식품,음료,담배","롯데 기업집단에 속해있으며 롯데삼강을 존속법인으로 하고 파스퇴르, 웰가, 롯데후레쉬델리카 등의 회사를 합병한 종합식품기업으로 2013년 4월부터 롯데삼강에서 롯데푸드로 상호 변경함 2017년 10월 동사와 롯데칠성음료(주), 롯데쇼핑(주)가 영위하는 사업 중 투자사업 부문을 각각 분할하여 롯데지주(舊.롯데제과㈜)에 흡수 합병을 완료함 주요제품으로는 유지식품(그랜드마아가린 등), 빙과(구구콘, 빠삐코 등), 육가공(로스팜 등) 을 생산 판매하고 있음 동사는 국내에 총 10개의 공장(천안, 평택, 포승, 안산, 파스퇴르, 용인, 광주, 부산, 청주, 김천)을 보유 중임"
A003200,일신방직,내구소비재와의류,"1951년 11월 3일 설립되었고 주요사업 내용은 섬유제품 제조 및 판매업으로 구성되어 있으며, 동사를 제외한 6개의 계열사를 보유하고 있음 경쟁력이 약해진 멜란지, 혼방사, 화섬사 등의 생산 품종을 재구성하며, 경쟁력있는 고부가가치 제품인 MVS, SIRO, PATCH사 등의 생산과 판매를 늘려 수익성을 높이는데 집중 종속회사 신동와인은 고객의 다양한 욕구를 만족시킬 수 있도록 고급 와인에서 부터 대중적인 브랜드 와인까지 다양한 500여 종류의 와인을 수입하여 판매를 하고 있음 종속회사 비에스케이코퍼레이션은 THE BODY SHOP International PLC, Godiva Chocolatier와 프렌차이즈 계약을 체결하고 화장품 및 관련상품과 초콜릿 관련상품 판매를 하고있음"
A005300,롯데칠성,"식품,음료,담배","동사는 1950년 5월 9일 설립되어 롯데그룹의 주요 계열사이며 청량음료, 주류, 과채류음료, 곡류음료, 식료품 및 기타 기호음료 등의 제조ㆍ판매 등을 주 영업목적으로 하고 있음 주요 제품 및 상품으로는 음료에는 칠성사이다, 델몬트주스, 레쓰비, 실론티, 아이시스 등이 있으며 주류에는 처음처럼, 클라우드 등이 있음 막강한 라인업을 구축한 음료사업에 소주, 맥주, 위스키 등 주류 라인업이 강화되어 보다 효율적이고 통합적인 전략을 전개하며 대다수의 카테고리에서 경쟁력 있는 상품을 가지고 있음 러시아, 동남아, 홍콩 등을 중심으로 다양한 국가에 시장을 구축해 나가고 있으며 신유통 채널의 경우 판촉/광고 활동으로 지속적인 매출신장을 통해, 글로벌 시장에서 브랜드 파워를 키워나가고 있음"
A002380,KCC,자본재,"동사는 건축자재 산업을 주요 사업으로 영위하고 있으며 2005년 사명을 (주)금강고려화학에서 (주)케이씨씨로 변경하여 현재까지 사용하고 있음 지배회사 케이씨씨는 수익을 창출하는 용역의 성격에 따라 주요 영업부문을 건자재, 도료, 기타 부문으로 구분하고 분리 운영하고 있음 건자재 부문은 내장재 및 보온단열재 대부분 품목에서 동종업계의 선두위치를 확보, 도료 부문은 건축용, 자동차용, 선박용 등 도료 제품이 있으며, 동사를 포함한 상위 5개사가 전체 시장의 약 80%를 점유 유가의 불안정, 기후변화협약의 규제 대응 등 신재생에너지의 중요성이 재인식되면서 기술 개발 및 보급 확대 추진되었으나 전세계적인 경제위기로 수요 정체 현상이 심화되고 있음"
A003520,영진약품,제약과생물공학,"동사는 1962년 7월 16일에 의약품의 제조 및 판매를 목적으로 설립되어 의약품의 제조, 판매를 주요사업으로 하고 있으며 1973년 6월 25일자로 한국거래소에 상장하였음 크라모넥스 항생제를 비롯하여 고혈압 및 뇌기능개선, 해열진통, 정신분열 및 신경안정, 경관영양보급, 호흡기관용, 소화불량, 위궤양, 항히스타민제, 비타민 영양제 등 의약품이 동사의 주력 판매 제품임 연구개발활동으로 YRA-1909 (류마티스 관절염 치료제) 관련 임상 2상을 진행중이며, KL-1333(유전적 미토콘드리아 질환 관련연구)는 국내 임상 1상 진행중 동사의 COPD치료제, YPL-001은 2013년 4월 FDA IND 승인을 시작으로 임상 2a를 마쳤으며, 현재 기술이전을 위해 노력하고 있음"
A002900,TYM,자본재,"동사는 1960년 2월 1일 설립되었으며 농기계사업 및 담배필터사업을 주요사업으로 영위하고 있으며 종속회사에 포함된 회사들이 영위하는 사업으로는 농기계 판매업이 있음 주요제품으로 농업용기계 용도인 트랙터, 콤바인, 이앙기 등이 있으며 담배필터로 쓰이는 탄소복합필터, 아세테이트필터 등이 있음 주요사업부문은 농기계사업부, 필터사업부, 기타사업부문으로 구성되어 있으며 농기계사업부 매출이 가장 큰 부분을 차지하고 있음 담배필터산업은 필터의 개발 및 선정도 KT＆G의 선택에 좌우되고 있으며 세계적 담배회사인 PM(필립모리스)의 담배필터는 현재 국내 필터생산업체 중에서는 동사가 독점 공급하고 있음"
A003090,대웅,제약과생물공학,"동사는 1961년 1월 대한비타민산업주식회사로 설립되었으며 의약품제조 및 판매, 부동산임대, 용역제공으로 사업을 영위하고 있음 자회사 대웅제약은 주력제품인 나보타, 올메텍, 우루사, 알비스 등의 꾸준한 성장과 신제품 도입으로 지속적인 매출 성장을 유지하고 있음 동사는 개량신약 및 연구에 일관적인 정책 및 투자를 지향하여 특허취득에 상당한 노력을 진행중이며, 동시 현재 약 133여 개의 특허권을 가지고 있음 자회사 요녕대웅제약유한회사는 현재 내용액제 전문 연구소를 개소하였고, cGMP 내용액제 전용 공장 건설을 완료하였으며, 다수 제품의 품목 및 GMP 허가 준비중에 있음"
